name,category,description,base_price,img,selling_price,stock_quantity
iPhone 15 Pro,Electronics,Latest Apple smartphone with titanium build and advanced camera system,999.99,https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=500,899.99,45
Samsung Galaxy S24 Ultra,Electronics,Premium Android smartphone with S Pen and 200MP camera,1199.99,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=500,1099.99,32
MacBook Pro 14-inch,Electronics,Professional laptop with M3 chip for creators and developers,1999.99,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500,1899.99,28
Dell XPS 13,Electronics,Ultra-portable laptop with InfinityEdge display,1299.99,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500,1199.99,18
Sony WH-1000XM5,Electronics,Premium noise-cancelling wireless headphones,399.99,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,349.99,67
AirPods Pro 2nd Gen,Electronics,Apple's flagship wireless earbuds with spatial audio,249.99,https://images.unsplash.com/photo-1606220945770-b5b6c2c55bf1?w=500,229.99,89
iPad Air 5th Gen,Electronics,Versatile tablet with M1 chip for work and creativity,599.99,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500,549.99,41
Nintendo Switch OLED,Electronics,Gaming console with vibrant OLED screen,349.99,https://images.unsplash.com/photo-1606144042614-b2417e99c4e3?w=500,329.99,73
PlayStation 5,Electronics,Next-gen gaming console with 4K gaming capabilities,499.99,https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=500,479.99,12
Canon EOS R5,Electronics,Professional mirrorless camera with 8K video recording,3899.99,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=500,3699.99,8
Nike Air Max 270,Footwear,Comfortable running shoes with Max Air cushioning,150.00,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,129.99,156
Adidas Ultraboost 22,Footwear,Performance running shoes with Boost midsole,180.00,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=500,159.99,92
Converse Chuck Taylor All Star,Footwear,Classic canvas sneakers for everyday wear,55.00,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=500,49.99,203
Vans Old Skool,Footwear,Iconic skateboarding shoes with waffle outsole,65.00,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=500,59.99,178
Dr. Martens 1460 Boots,Footwear,Durable leather boots with AirWair sole,170.00,https://images.unsplash.com/photo-1594708767771-a7502209ee84?w=500,149.99,67
Timberland 6-Inch Premium Boots,Footwear,Waterproof work boots with premium leather,190.00,https://images.unsplash.com/photo-1605348532760-6753d2c43329?w=500,169.99,84
New Balance 990v5,Footwear,Premium running shoes made in USA,175.00,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=500,159.99,45
Jordan 1 Retro High,Footwear,Iconic basketball shoes with classic design,170.00,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=500,154.99,29
Puma RS-X3,Footwear,Chunky sneakers with retro-futuristic design,110.00,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=500,99.99,112
Reebok Classic Leather,Footwear,Vintage-inspired leather sneakers,75.00,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=500,69.99,134
Levi's 501 Original Jeans,Clothing,Classic straight-leg jeans in premium denim,89.99,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=500,79.99,245
Nike Dri-FIT T-Shirt,Clothing,Moisture-wicking athletic shirt for workouts,25.00,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500,22.99,389
Adidas Three Stripes Hoodie,Clothing,Comfortable cotton hoodie with iconic stripes,65.00,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=500,59.99,167
Champion Reverse Weave Sweatshirt,Clothing,Premium heavyweight sweatshirt with vintage appeal,70.00,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=500,64.99,98
Ralph Lauren Polo Shirt,Clothing,Classic polo shirt in cotton pique,89.99,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=500,79.99,156
Patagonia Down Jacket,Clothing,Lightweight down-insulated jacket for outdoor adventures,229.99,https://images.unsplash.com/photo-1544966503-7cc5ac882d5e?w=500,199.99,73
